PROJECT_REFID;PROJECTID;VERSION;PROJECT_TYPE;PROJECT_NAME;REMARKS;BCIREGION;ADDRESS;TOWN;PROVINCE;COUNTRY_NAME;PROJECT_STATUS;PROJECTSTAGE;CONST_START;CONST_END;TIME_STAMP;VALUE;USVALUE;LANGUAGE;CAT_1_NAME;CAT_2_NAME;CAT_3_NAME;CAT_4_NAME;CAT_5_NAME;DEV_TYPE;DEV_TYPEID;FLOOR_AREA;FOREIGN_PARTICIPATION;KEYWORD;LAST;MAJOR;OWNER_TYPE;OWNER_TYPEID;POSTCODE;PROJECTSTAGEID;PROJECT_NOTES;SITE_AREA;STOREYS;SUBCAT_1_NAME;SUBCAT_2_NAME;SUBCAT_3_NAME;SUBCAT_4_NAME;SUBCAT_5_NAME;SUBCAT_6_NAME;SUBCAT_7_NAME;SUBCAT_8_NAME;TIMETABLE_REMARKS;PROJECT_STATUSID;STATUS_DESC
106353649799465;213378002;4;STUDENT CENTRE for UNIVERSITY - new - 3 storey;UNIVERSITAS GADJAH MADA - GEDUNG GELANGGANG INOVASI & KREATIVITAS;* 3 storey student centre building (approx. 59,451 sq m) * Multipurpose rooms * Entrance area * Meeting rooms * Foodcourt  * Theatre * At grade carpark  Building elements include: * Flooring : ceramic tile / homogenous tile  * Structural : reinforced concrete * Ceiling : gypsum board / acoustical ceiling * Walling : light brick walls * Facade : glass wall cladding * Roofing : ceramic roof tile * Roof truss : lightweight steel * Aluminium framed doors & windows / solid wood doors * Lifts  * Duct connected air conditioning * Fire protection system & security system * Building automation system * Sanitary ware / plumbing;Java;Jalan Pancasila No.1, Blimbing Sari, Kelurahan Caturtunggal, Kecamatan Depok;Sleman;Yogyakarta;Indonesia;Contract Awarded / Builder Appointed;Pre-Construction;13/07/2022;30/09/2024;07/06/2022 17:37:00;552265;37.945;;Community & Cultural;Retail;Education;;;New construction;3;59451;0;;1;1;Commercial;4;55281;6;;49500;3;Community Hall, Community Centre;Theatre, Cinema;Restaurant, Cafe, Food Outlet, Canteen;University, College, Institute;;;;;;112;MAIN CONTRACT AWARDED | CONTRACT AWARDED FOR CONSTRUCTION MANAGER | CONSTRUCTION EXPECTED TO COMMENCE JULY 2022
106366357716168;218872002;1;FLATS (54) - new - 3 storey;RUMAH SUSUN KORSABHARA - JAKARTA TIMUR;* 3 storey housing flats (approx. 3,175 sq m) * 54 units (single type of units : 58 sq m) * Multipurpose room * At grade car park   Building elements include: * Flooring : ceramic tile * Structural :  reinforced concrete  * Ceiling : gypsum board * Walling : light brick walls / precast concrete panels  * Roofing : concrete slab roof * Aluminium framed doors & windows / fabricated wood doors / steel & fire doors / PVC doors * Piling : precast pile  * Fire protection system * Sanitary ware / plumbing;Java;Jalan Raya Bekasi Timur No 86 , Cipinang Besar Utara, Kecamatan Jatinegara;Jakarta Timur;Special Capital Region of Jakarta;Indonesia;Tender Called;Pre-Construction;12/07/2022;26/12/2022;07/06/2022 17:33:00;25050;1.721;;Residential;;;;;New construction;3;3175;0;;1;1;Government;3;13410;6;;;3;Apartment, Condominium, Townhouse;;;;;;;;;110;CONSTRUCTION PERMIT (IMB) APPROVED | OPEN TENDER FOR MAIN CONTRACT ADVERTISED | CONTRACT EXPECTED TO BE AWARDED 23 JUNE 2022
106366558493115;218895002;1;MULTIPURPOSE HALL for INSTITUTE - refurbishment - 3 storey;INSTITUT TEKNOLOGI SEPULUH NOVEMBER (ITS) - GRAHA ITS;* Refurbishment of 3 storey multipurpose hall (approx. 3,841 sq m) * Entrance area * Meeting rooms * Storage room * Lobby & information centre room  Building elements include: * Flooring : ceramic tile / homogenous tile / wood tile / hardened concrete floor * Ceiling : gypsum board / decorative ceiling * Walling : light brick walls / decorative walling * Roofing : concrete roof tile * Roof truss : lightweight steel * Aluminium framed doors & windows / fabricated wood doors / UPVC framed doors & windows;Java;Kampus ITS, Jalan Raya ITS, Kelurahan Keputih, Kecamatan Sukolilo;Surabaya;East Java;Indonesia;Tender Called;Pre-Construction;12/07/2022;28/10/2022;07/06/2022 15:38:00;5300;0.364;;Community & Cultural;Education;;;;Refurbishment;2;3841;0;;1;0;Government;3;60111;6;;;3;Community Hall, Community Centre;University, College, Institute;;;;;;;;110;OPEN TENDERS FOR MAIN CONTRACT ADVERTISED | CONTRACT EXPECTED TO BE AWARDED 27 JUNE 2022 | ARCHITECT NOT DISCLOSED
106365538086325;218860002;1;FLATS (120) for SCHOOL - 5 buildings - new - 2 storey;RUMAH SUSUN PONDOK PESANTREN JAWA TENGAH II (JTGRSN22-04);* 5 x 2 storey student housing flats  * 120 units  * Multipurpose rooms  * Restrooms  * At grade car park  Building elements include: * Flooring : ceramic tile * Structural : reinforced concrete * Ceiling : gypsum board / fibre cement board * Walling : light brick walls * Roofing : concrete roof tile * Roof truss : lightweight steel * Aluminium framed doors & windows / fabricated wood doors;Java;Various Location;Kota Semarang, Blora, Wonogiri, Temanggung, Pemalang;Central Java;Indonesia;Tender Closed - Contract Not Yet Awarded ;Pre-Construction;22/09/2022;28/12/2022;07/06/2022 15:34:00;17790;1.222;;Residential;Education;;;;New construction;3;2500;0;pembangunan, rumah, susun, pondok, pesantren, provinsi, jawa, tengah;1;1;Government;3;;6;;;2;Apartment, Condominium, Townhouse;School;;;;;;;;119;OPEN TENDERS FOR MAIN CONTRACT CLOSED | CONTRACT EXPECTED TO BE AWARDED 05 AUGUST 2022 | OPEN TENDERS ADVERTISED FOR SUPERVISORY CONSULTANT | CONTRACT EXPECTED TO BE AWARDED 08 AUGUST 2022 | ARCHITECT NOT DISCLOSED
106186546213418;213799002;3;FLATS (69) - new - 12 storey;RUMAH SUSUN MAHKAMAH AGUNG;* 12 storey flats for Supreme court (approx. 8,000 sq m) * 69 units flats * Staff quarters units * Multipurpose room, gathering area * At grade car park  Building elements include: * Flooring : ceramic tile / homogeneous tile  * Structural : reinforced concrete * Ceiling : gypsum board  * Walling : light brick walls / precast concrete wall panel * Roofing : concrete slab roof  * Aluminium framed doors & windows / fabricated wood doors  * Piling : bored pile / precast pile * Lifts * Fire protection system * Sanitary ware / plumbing;Java;Jalan Pulomas Utara / Pulomas Selatan, Kelurahan Kayu Putih, Kecamatan Pulogadung;Jakarta Timur;Special Capital Region of Jakarta;Indonesia;Subcontractor Tender Called;Construction;06/09/2021;12/09/2022;07/06/2022 15:34:00;48660;3.431;;Residential;;;;;New construction;3;8000;0;;1;1;Government;3;13210;8;;2500;12;Apartment, Condominium, Townhouse;;;;;;;;;160;OPEN TENDERS ADVERTISED FOR MEUBELAIR SUPPLY SUBCONTRACTOR | CONTRACT EXPECTED TO BE AWARDED 01 JULY 2022
106316594007000;188848002;11;HOTEL (291 rooms) - new - 11 storey;MOVENPICK AIRPORT HOTEL (5 STARS);* 11 storey hotel (approx. 15,000 sq m) * 291 hotel rooms  * Hotel lobby & reception lounge * Restaurant  * Single level basement car park * Fitness centre, spa * Swimming pool * At grade car park  Building elements include: * Flooring : ceramic tile / homogeneous tile / marble / carpet * Structural :  reinforced concrete * Ceiling : gypsum board * Walling : light brick walls / precast concrete wall panel * Roofing : concrete slab roof * Piling : bored pile * Aluminium framed doors & windows / solid wood doors * Lifts * Split type air conditioning / duct connected  air conditioning * Fire protection system * Security system * Sanitary ware / plumbing;Java;Jalan Husein Sastranegara, Kelurahan Rawa Bokor, Kecamatan Benda;Kota Tangerang;Special Capital Region of Jakarta;Indonesia;Site Works Commenced;Construction;07/01/2023;12/01/2025;07/06/2022 15:17:00;232500;15.625;;Hospitality;Infrastructure;Sport & Recreation;Retail;;New construction;3;15000;0;;1;1;Commercial;4;15125;8;;3088;12;Hotel;Multi-Storey Car Park;Swimming Pool, Aquatic Centre, Sauna;Indoor Sports Court, Bowling Alley, Gymnasium;Road, Surface, Car Park;Restaurant, Cafe, Food Outlet, Canteen;;;;121;PILING COMMENCED | CONSTRUCTION EXPECTED TO COMMENCE 1ST QUARTER 2023 | PILING & BORING SUBCONTRACTOR CONTRACT RESCINDED | NEW PILING & BORING SUBCONTRACTOR LISTED
106359460613550;217048002;5;HOSPITAL (85 beds) - refurbishment - 6 storey;RUMAH SAKIT UMUM PERSAHABATAN - GRIYA PUSPA;* 6 storey hospital building (approx. 7,000 sq m) * Inpatient care unit (85 beds) * Management office * Polyclinic * Sleep Laboratory * Lung Laboratory * Cath Lab * Registration area & waiting room  Building elements include: * Flooring : ceramic tile / vinyl sheet flooring * Ceiling : gypsum board / sandwich panels * Walling : light brick walls * Roofing : concrete slab roof * Aluminium framed doors & windows / solid wood doors * Split type air conditioning * Sanitary ware / plumbing;Java;Jalan Persahabatan Raya No. 1, RT. 016 / RW. 013, Kelurahan Pisangan Timur, Kecamatan Pulo Gadung;Jakarta Timur;Special Capital Region of Jakarta;Indonesia;Design Contract Awarded / Competition Winner;Concept;22/09/2022;26/12/2022;07/06/2022 15:16:00;28700;1.972;;Health;Education;;;;Refurbishment;2;7000;0;;1;1;Government;3;13230;2;;;6;Hospital;Research Centre, Laboratory, Observatory;;;;;;;;122;CONTRACT AWARDED FOR ARCHITECT
106359384346520;212086002;8;FACTORY - new - single storey;TIRTA FRESINDO JAYA EXTENSION FACTORY - CIHERANG 4;* Single storey beverages factory (approx. 3,000 sq m) * Production lines * Quality control room  Building elements include :  * Structural : steel construction * Ceiling : gypsum board / metal ceiling * Walling : light brick walls / metal walling * Facade : metal panel cladding * Roofing : metal sheet roof * Roof truss : steel frame * Piling : jacking pile * Aluminium framed doors & windows / metal doors * Fire protection system * Security system;Java;Jalan Mayjen HE Sukma Km. 16,5 , Kelurahan Ciherang, Kecamatan Caringin;Kabupaten Bogor;West Java;Indonesia;Subcontractor(s) Appointed;Construction;01/07/2022;01/02/2023;07/06/2022 15:11:00;25000;1.739;;Industrial;;;;;Extension;5;3000;0;;1;1;Commercial;4;16111;8;;;1;Food & Beverage Processing;Factory;;;;;;;;164;PILING SUBCONTRACTOR APPOINTED BY NEGOTIATION | CONSTRUCTION EXPECTED TO COMMENCE JULY 2022
106358470861497;214157002;7;FACTORY - new - single storey;UNITED CAN NEW FACTORY - BATANG;* Single storey packaging products factory (approx. 40,000 sq m) * Production lines * Quality control room * Storage area * Workshop * Administrative office * Engine & utility room * Civil work  Building elements include :  * Flooring : hardened concrete floor / epoxy flooring * Structural : steel construction * Ceiling : gypsum board / metal ceiling * Walling : light brick walls / metal walling * Facade : metal panel cladding * Roofing : metal sheet roof * Roof truss : steel frame * Piling : bored pile * Aluminium framed doors / metal doors * Fire protection system * Security system;Java;Kawasan Industri Batang Industrial Park, Desa Wonosegoro, Kecamatan Bandar;Batang;Central Java;Indonesia;Subcontractor(s) Appointed;Construction;01/05/2022;01/02/2023;07/06/2022 14:24:00;300000;20.612;;Industrial;Infrastructure;;;;New construction;3;40000;0;;1;1;Commercial;4;51254;8;;;1;Manufacturing & Processing;Factory;Civil Works, Excavation;;;;;;;164;CIVIL & STRUCTURE SUBCONTRACTOR APPOINTED BY NEGOTIATION
106361654339294;218817002;1;TRAINING CENTRE for UNIVERSITY - completion - 3 storey;UNIVERSITAS TRUNOJOYO - GEDUNG KARAKTER;Completion of 3 storey training centre building (1,500 sq m), to include :  * Class & practical rooms * Meeting rooms * Landscaping  Building elements include: * Flooring : ceramic tile / granite tile * Ceiling : gypsum board * Walling : brick walls * Roofing : metal sheet roofing * Roof truss : lightweight steel * Aluminium framed doors & windows / fabricated wood doors ;Java;Jalan Raya Telang, Perumahan Telang Inda, Kelurahan Telang, Kecamatan Kamal;Bangkalan;East Java;Indonesia;Construction Commenced;Construction;02/06/2022;21/12/2022;07/06/2022 10:18:00;9320;0.64;;Education;;;;;Extension;5;1500;0;;1;0;Government;3;69162;8;;0;2;University, College, Institute;;;;;;;;;115;CONSTRUCTION COMMENCED | ARCHITECT NOT DISCLOSED
106264394667300;187945002;23;HOTEL (185 rooms) - new - 13  storey;BINTARO JAYA XCHANGE EXTENSION (PHASE 2) - DOUBLETREE HOTEL (5 STARS);* 13 storey hotel  (approx. 13,500 sq m) * 185 hotel rooms  * Hotel lobby & reception lounge * 2 basement levels car park * Restaurant * Ballroom * Swimming pool * Landscaping * Cut & fill  Building elements include: * Flooring : ceramic tile / homogeneous tile / marble * Structural :  reinforced concrete * Ceiling : gypsum board / decorative ceiling * Walling : light brick walls / decorative walling * Facade : glass wall cladding  * Roofing : concrete slab roof * Roof truss : steel frame * Aluminium framed doors & windows / solid wood doors / steel & fire doors * Piling : bored pile * 4 passenger lifts & 1 service lift * Split type air conditioning / duct connected  air conditioning * Fire protection system * Security system * Sanitary ware / plumbing * Sewerage treatment plant * Gondola;Java;Boulevard Bintaro Jaya Blok O-2, Bintaro Jaya Sektor VII, Kelurahan Perigi, Kecamatan Pondok Aren;Tangerang Selatan;Special Capital Region of Jakarta;Indonesia;Subcontractor(s) Appointed;Construction;24/02/2020;23/09/2023;07/06/2022 09:18:00;243000;16.905;;Hospitality;Retail;Infrastructure;Sport & Recreation;Utilities;New construction;3;13500;1;;1;1;Commercial;4;15227;8;;40000;15;Hotel;Restaurant, Cafe, Food Outlet, Canteen;Multi-Storey Car Park;Swimming Pool, Aquatic Centre, Sauna;Civil Works, Excavation;Landscaping;Sewerage & Water Reticulation;;;164;CONTRACT AWARDED FOR FACADE SUBCONTRACTOR | SELECT TENDER FOR GONDOLA SUBCONTRACTOR CLOSED | TENDERERS LISTED | CONTRACT EXPECTED TO BE AWARDED DECEMBER 2022
106358522573831;215698002;4;MOSQUE | CANTEEN for FACTORY - 2 buildings - new - single storey;FUJISEAT INDONESIA MOSQUE & CANTEEN PROJECT - SURYA CIPTA KARAWANG;* Single storey mosque (approx. 1,000 sq m) * Single storey canteen (approx. 1,000 sq m * Civil work  Building elements include :  * Flooring : ceramic tile * Structural : reinforced concrete / steel construction * Roofing : metal sheet roof * Roof truss : steel frame * Ceiling : gypsum board * Walling : brick walls * Piling : jacking pile  * Aluminium framed doors / solid wood doors;Java;Kawasan Industri Surya Cipta Jalan Surya Madya IV Kavling I-30 ABC, Desa Kutanegara, Kecamatan Ciampel;Karawang;West Java;Indonesia;Subcontractor(s) Appointed;Construction;09/05/2022;31/08/2022;06/06/2022 18:12:00;15000;1.031;;Retail;Community & Cultural;Industrial;Infrastructure;;New construction;3;2000;0;;1;1;Commercial;4;41363;8;;;1;Restaurant, Cafe, Food Outlet, Canteen;Religious Building;Factory;Civil Works, Excavation;;;;;;164;STRUCTURAL STEEL SUBCONTRACTOR APPOINTED BY NEGOTIATION
106351418714057;218311002;4;FLATS (51) for POLICE STATION - completion - 4 storey;RUMAH SUSUN MARKAS KOMANDO BRIGADIR MOBIL (MAKO BRIMOB) KEPOLISIAN DAERAH KEPULAUAN RIAU - BATAM (PHASE 2);Completion of 4 storey flat blocks (approx. 3,000 sq m), to include : * 51 flats (single type of units : approx. 45 sq m) * Multipurpose room  Building elements include: * Flooring : ceramic tile * Ceiling : gypsum board * Walling : light brick walls * Roofing : metal sheet roofing * Roof truss : lightweight steel * Aluminium framed doors & windows / solid wood doors * Sanitary ware / plumbing;Sumatera;Jalan Trans Barelang, Kelurahan Tembesi, Kecamatan Batu Aji;Batam;Riau Islands;Indonesia;Construction Commenced;Construction;06/06/2022;30/12/2022;06/06/2022 17:54:00;4542;0.312;;Residential;Legal & Military;;;;Extension;5;3000;0;;1;0;Government;3;29439;8;;;4;Apartment, Condominium, Townhouse;Police Station;;;;;;;;115;MAIN CONTRACT AWARDED | CONSTRUCTION COMMENCED
106255539528966;215422002;4;SUPPORTING BUILDING for HOSPITAL - new - 2 storey;RSJ DR. H. MARZOEKI MAHDI - GEDUNG PELAYANAN ASSESMENT CENTRE;* 2 storey supporting building for hospital (approx. 2,271 sq m) * Entrance area * Work stations & office space * Meeting rooms  Building elements include: * Flooring : ceramic tile * Structural : reinforced concrete * Ceiling : gypsum board * Walling : brick walls * Roofing : concrete roof tile * Roof truss : lightweight steel * Aluminium framed doors & windows / solid wood doors * Sanitary ware / plumbing;Java;Jalan Dr. Semeru No. 114, Kelurahan Menteng, Kecamatan Bogor Barat;Kota Bogor;West Java;Indonesia;Tender Called;Pre-Construction;01/07/2022;01/12/2022;06/06/2022 17:41:00;8699;0.598;;Health;;;;;New construction;3;2271;0;;1;0;Government;3;16111;6;;;2;Hospital;;;;;;;;;110;OPEN TENDERS FOR MAIN CONTRACT ADVERTISED | CONTRACT EXPECTED TO BE AWARDED 30 JUNE 2022
